index,clientCode,numFound,cumulativeSum
0,None,7674289,7674289
1,samat,75491,7749780
2,sgo,929933,8679713
3,a001,391421,9071134
4,a006,69039,9140173
5,adec,217197,9357370
6,a009,1156575,10513945
7,mutx,28889,10542834
8,a038,148796,10691630
9,rgo,59307,10750937
10,a071,2238,10753175
11,aller,52667,10805842
12,trap,31569,10837411
13,vwfs,29582,10866993
14,gospr,161847,11028840
15,bacra,17156,11045996
16,a041,154670,11200666
17,a054,44498,11245164
18,a019,14371,11259535
19,dssmi,177843,11437378
20,mbl,148742,11586120
21,a052,30483,11616603
22,adrea,75422,11692025
23,akka,705187,12397212
24,log,314532,12711744
25,a045,31734,12743478
26,sonep,617494,13360972
27,a072,103526,13464498
28,a098,83515,13548013
29,a099,11701,13559714
30,ge,178891,13738605
31,a039,30625,13769230
32,a047,25105,13794335
33,a106,7245,13801580
34,a082,103118,13904698
35,a101,4744,13909442
36,a063,9852,13919294
37,a080,66548,13985842
38,anap,6804,13992646
39,a059,105923,14098569
40,johns,133418,14231987
41,w036,3690,14235677
42,a093,920124,15155801
43,a049,4832,15160633
44,a090,611794,15772427
45,a088,338248,16110675
46,a091,149916,16260591
47,a028,132628,16393219
48,a081,15778,16408997
49,w017,9158,16418155
50,a085,1321,16419476
51,j009,3359,16422835
52,a102,6174,16429009
53,a027,1786,16430795
54,a067,7155,16437950
55,l084,3119,16441069
56,p020,86441,16527510
57,l009,600,16528110
58,l002,3503,16531613
59,j012,12470,16544083
60,a100,5273,16549356
61,a050,17233,16566589
62,n050,5018,16571607
63,n029,6933,16578540
64,j025,3087,16581627
65,g085,1440,16583067
66,a044,71601,16654668
67,a015,81606,16736274
68,ifp,2363,16738637
69,dev,81859,16820496
70,altran,316988,17137484
71,lbd,10222,17147706
72,celio,84648,17232354
73,cgw,145764,17378118
74,alcoa,21496,17399614
75,fiba,2125,17401739
76,cofac,19345,17421084
77,damr,19702,17440786
78,ebu,10457,17451243
79,conde,7125,17458368
80,kemon,35774,17494142
81,sms,6039,17500181
82,astgrp,14393,17514574
83,a057,2295,17516869
84,ver,4258,17521127
85,lcl,4092,17525219
86,a036,1351,17526570
87,elal,1079,17527649
88,a029,5855,17533504
89,a068,6689,17540193
90,ims,55,17540248
91,a007,2423889,19964137
92,a084,2761,19966898
93,a037,29014,19995912
94,a040,17613,20013525
95,a089,32013,20045538
96,orc,3422,20048960
97,mpedp,44703,20093663
98,a075,47522,20141185
99,cmn,9285,20150470
100,a030,116242,20266712
101,a104,3634,20270346
102,a083,1942,20272288
103,a024,9833,20282121
104,arian,3980,20286101
105,a086,3046,20289147
106,a065,5458,20294605
107,a060,5697,20300302
108,a095,19772,20320074
109,a103,4159,20324233
110,apic,54714,20378947
111,kle,25672,20404619
112,oddo,61232,20465851
113,a010,28262,20494113
114,a023,17495,20511608
115,ipsos,59992,20571600
116,a021,46221,20617821
117,hex,69538,20687359
118,r005,1688,20689047
119,afp,13668,20702715
120,ucpa,216637,20919352
121,sferi,18275,20937627
122,a087,46618,20984245
123,a034,52519,21036764
124,e059,961,21037725
125,a043,36066,21073791
126,a092,3478,21077269
127,inc,2651,21079920
128,den,10454,21090374
129,a076,19525,21109899
130,pichet,9437,21119336
131,ser,4859,21124195
132,p103,1206,21125401
133,par,7498,21132899
134,sta,11690,21144589
135,refre,5477,21150066
136,a097,7788,21157854
137,j079,11192,21169046
138,ceva,3796,21172842
139,labco,663,21173505
140,te999005,13,21173518
141,n054,2247,21175765
142,n084,1056,21176821
143,te162000,103,21176924
144,jenny,23,21176947
145,tc709000,94,21177041
146,tc348000,21,21177062
147,g034,653,21177715
148,tc760000,2,21177717
149,a020,64,21177781
