index,clientCode,numFound,cumulativeSum
0,samat,75491,75491
1,sgo,929924,1005415
2,a001,391421,1396836
3,adec,217195,1614031
4,mutx,28889,1642920
5,rgo,59307,1702227
6,a071,2238,1704465
7,aller,52667,1757132
8,trap,31569,1788701
9,vwfs,29582,1818283
10,gospr,161847,1980130
11,a041,154664,2134794
12,a054,44498,2179292
13,a019,14371,2193663
14,mbl,148738,2342401
15,adrea,75422,2417823
16,log,314531,2732354
17,a045,31734,2764088
18,a072,103526,2867614
19,a098,83515,2951129
20,a099,11701,2962830
21,ge,178891,3141721
22,a106,7245,3148966
23,a082,103118,3252084
24,a101,4744,3256828
25,a080,66548,3323376
26,anap,6804,3330180
27,a059,105923,3436103
28,johns,133418,3569521
29,a093,920124,4489645
30,a090,728763,5218408
31,a081,15778,5234186
32,a027,1786,5235972
33,a067,7155,5243127
34,a044,71600,5314727
35,a015,81606,5396333
36,ifp,2363,5398696
37,dev,81859,5480555
38,altran,316978,5797533
39,lbd,10222,5807755
40,celio,84647,5892402
41,alcoa,21496,5913898
42,fiba,2125,5916023
43,cofac,19345,5935368
44,damr,19702,5955070
45,ebu,10457,5965527
46,conde,7125,5972652
47,kemon,35774,6008426
48,sms,6038,6014464
49,astgrp,14393,6028857
50,a057,2295,6031152
51,ver,4258,6035410
52,lcl,4092,6039502
53,a036,1351,6040853
54,elal,1079,6041932
55,a029,5855,6047787
56,ims,55,6047842
57,a007,2423848,8471690
58,a084,2761,8474451
59,a089,32013,8506464
60,orc,3422,8509886
61,a075,47522,8557408
62,a104,3634,8561042
63,a083,1942,8562984
64,a024,9830,8572814
65,a095,19772,8592586
66,a103,4159,8596745
67,a034,52519,8649264
68,a043,36066,8685330
69,a092,3478,8688808
70,a076,19525,8708333
71,pichet,9437,8717770
72,ser,4859,8722629
